flight_id,flight_number,flight_date,airline_code,aircraft_id,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay_min,arrival_delay_min,distance_km,passengers,status
83,WS965,2025-01-10,WS,20,YUL,CUN,2025-01-10 11:30:00,2025-01-10 11:46:00,2025-01-10 15:41:00,2025-01-10 16:07:00,16,26,2970,134,Retardé
84,DL252,2025-01-10,DL,51,JFK,YUL,2025-01-10 11:55:00,2025-01-10 11:53:00,2025-01-10 13:06:00,2025-01-10 13:01:00,-2,-5,537,104,À l'heure
85,AC227,2025-01-10,AC,16,CDG,YUL,2025-01-10 13:00:00,2025-01-10 13:10:00,2025-01-10 20:32:00,2025-01-10 20:43:00,10,11,5523,257,À l'heure
86,TS1662,2025-01-10,TS,38,CDG,YUL,2025-01-10 17:15:00,2025-01-10 17:30:00,2025-01-11 00:53:00,2025-01-11 01:06:00,15,13,5523,241,À l'heure
87,AF990,2025-01-10,AF,58,YUL,CDG,2025-01-10 19:20:00,2025-01-10 19:39:00,2025-01-11 02:45:00,2025-01-11 02:52:00,19,7,5523,215,À l'heure
88,AC563,2025-01-10,AC,3,YUL,LAX,2025-01-10 21:05:00,2025-01-10 21:07:00,2025-01-11 02:32:00,2025-01-11 02:37:00,2,5,3973,145,À l'heure
89,AC1746,2025-01-10,AC,10,YVR,YYZ,2025-01-10 21:20:00,2025-01-10 21:48:00,2025-01-11 02:10:00,2025-01-11 02:41:00,28,31,3346,115,Retardé
90,AC623,2025-01-11,AC,8,YVR,YUL,2025-01-11 07:35:00,2025-01-11 07:35:00,2025-01-11 12:51:00,2025-01-11 12:50:00,0,-1,3682,147,À l'heure
91,AC1910,2025-01-11,AC,3,YYZ,YYC,2025-01-11 08:45:00,2025-01-11 08:54:00,2025-01-11 12:42:00,2025-01-11 12:37:00,9,-5,2689,126,À l'heure
92,F8390,2025-01-11,F8,40,YVR,YUL,2025-01-11 09:25:00,,2025-01-11 14:31:00,,,,3682,,Annulé
93,AC1973,2025-01-11,AC,9,YWG,YYZ,2025-01-11 09:25:00,2025-01-11 09:22:00,2025-01-11 11:58:00,2025-01-11 12:00:00,-3,2,1504,145,À l'heure
94,PD470,2025-01-11,PD,30,YYZ,YUL,2025-01-11 09:50:00,2025-01-11 09:46:00,2025-01-11 10:53:00,2025-01-11 10:50:00,-4,-3,507,57,À l'heure
95,AC1046,2025-01-11,AC,8,JFK,YUL,2025-01-11 10:00:00,2025-01-11 10:00:00,2025-01-11 11:11:00,2025-01-11 11:05:00,0,-6,537,168,À l'heure
96,WS352,2025-01-11,WS,20,YYZ,YUL,2025-01-11 11:30:00,2025-01-11 11:30:00,2025-01-11 12:46:00,2025-01-11 12:35:00,0,-11,507,121,À l'heure
97,AC1672,2025-01-11,AC,9,YUL,CUN,2025-01-11 12:05:00,2025-01-11 12:10:00,2025-01-11 16:24:00,2025-01-11 16:38:00,5,14,2970,145,À l'heure
98,F81521,2025-01-11,F8,40,YYC,YYZ,2025-01-11 12:15:00,2025-01-11 12:15:00,2025-01-11 16:02:00,2025-01-11 16:04:00,0,2,2689,137,À l'heure
99,PD1472,2025-01-11,PD,31,YUL,YYZ,2025-01-11 13:10:00,2025-01-11 13:20:00,2025-01-11 14:26:00,2025-01-11 14:27:00,10,1,507,72,À l'heure
100,AC1865,2025-01-11,AC,14,YUL,LHR,2025-01-11 17:50:00,2025-01-11 18:23:00,2025-01-12 00:49:00,2025-01-12 01:30:00,33,41,5215,282,Retardé
101,F81147,2025-01-11,F8,39,YYC,YYZ,2025-01-11 18:05:00,2025-01-11 18:12:00,2025-01-11 21:54:00,2025-01-11 21:52:00,7,-2,2689,109,À l'heure
102,WS710,2025-01-11,WS,18,YUL,YYZ,2025-01-11 18:50:00,2025-01-11 22:36:00,2025-01-11 20:05:00,2025-01-11 23:53:00,226,228,507,129,Retardé
103,AC286,2025-01-11,AC,7,YHZ,YYZ,2025-01-11 19:40:00,2025-01-11 20:09:00,2025-01-11 21:43:00,2025-01-11 22:06:00,29,23,1288,142,Retardé
104,AC984,2025-01-11,AC,6,YQB,YUL,2025-01-11 20:00:00,2025-01-11 20:03:00,2025-01-11 20:39:00,2025-01-11 20:31:00,3,-8,233,175,À l'heure
105,AC1872,2025-01-11,AC,3,YOW,YYZ,2025-01-11 20:00:00,2025-01-11 20:25:00,2025-01-11 21:05:00,2025-01-11 21:30:00,25,25,363,155,Retardé
106,AC1726,2025-01-12,AC,10,YHZ,YUL,2025-01-12 07:20:00,2025-01-12 07:25:00,2025-01-12 08:47:00,2025-01-12 08:40:00,5,-7,804,164,À l'heure
107,UA1213,2025-01-12,UA,45,YUL,ORD,2025-01-12 08:20:00,2025-01-12 08:24:00,2025-01-12 10:30:00,2025-01-12 10:37:00,4,7,1201,114,À l'heure
108,AC558,2025-01-12,AC,11,LHR,YYZ,2025-01-12 10:55:00,2025-01-12 10:52:00,2025-01-12 18:39:00,2025-01-12 18:34:00,-3,-5,5707,202,À l'heure
109,WS1096,2025-01-12,WS,18,YYZ,YWG,2025-01-12 11:15:00,2025-01-12 11:50:00,2025-01-12 13:47:00,2025-01-12 14:09:00,35,22,1504,160,Retardé
110,UA1064,2025-01-12,UA,46,ORD,YUL,2025-01-12 17:10:00,2025-01-12 17:24:00,2025-01-12 19:08:00,2025-01-12 19:16:00,14,8,1201,144,À l'heure
111,PD540,2025-01-12,PD,28,YUL,YYZ,2025-01-12 17:15:00,2025-01-12 17:17:00,2025-01-12 18:32:00,2025-01-12 18:20:00,2,-12,507,86,À l'heure
112,WS566,2025-01-12,WS,18,YWG,YYC,2025-01-12 21:20:00,2025-01-13 00:31:00,2025-01-12 23:20:00,2025-01-13 02:19:00,191,179,1191,121,Retardé
113,F81920,2025-01-13,F8,41,YYZ,YVR,2025-01-13 08:50:00,2025-01-13 09:22:00,2025-01-13 13:27:00,2025-01-13 13:47:00,32,20,3346,155,Retardé
114,AC1317,2025-01-13,AC,2,YEG,YVR,2025-01-13 09:10:00,2025-01-13 09:20:00,2025-01-13 10:41:00,2025-01-13 10:54:00,10,13,809,103,À l'heure
115,WS1416,2025-01-13,WS,20,YVR,YYC,2025-01-13 12:50:00,2025-01-13 13:14:00,2025-01-13 14:19:00,2025-01-13 14:41:00,24,22,687,151,Retardé
116,PD1367,2025-01-13,PD,31,YUL,YHZ,2025-01-13 14:00:00,2025-01-13 14:00:00,2025-01-13 15:29:00,2025-01-13 15:26:00,0,-3,804,74,À l'heure
117,PD1176,2025-01-13,PD,26,YUL,YYZ,2025-01-13 15:50:00,2025-01-13 16:46:00,2025-01-13 17:06:00,2025-01-13 17:55:00,56,49,507,82,Retardé
118,F8606,2025-01-13,F8,42,YYZ,YVR,2025-01-13 16:30:00,2025-01-13 17:02:00,2025-01-13 21:08:00,2025-01-13 21:42:00,32,34,3346,162,Retardé
119,AC507,2025-01-13,AC,1,YYZ,YYC,2025-01-13 16:50:00,2025-01-13 18:24:00,2025-01-13 20:40:00,2025-01-13 22:14:00,94,94,2689,122,Retardé
120,UA1236,2025-01-13,UA,49,YYZ,ORD,2025-01-13 17:00:00,2025-01-13 19:29:00,2025-01-13 18:27:00,2025-01-13 20:58:00,149,151,701,144,Retardé
121,AC448,2025-01-13,AC,14,YYZ,LHR,2025-01-13 18:30:00,2025-01-13 19:59:00,2025-01-14 02:13:00,2025-01-14 03:32:00,89,79,5707,239,Retardé
122,PD570,2025-01-13,PD,25,YYZ,YHZ,2025-01-13 18:35:00,2025-01-13 18:47:00,2025-01-13 20:44:00,2025-01-13 20:54:00,12,10,1288,127,À l'heure
123,AF1121,2025-01-13,AF,56,YUL,CDG,2025-01-13 18:40:00,2025-01-13 18:46:00,2025-01-14 02:01:00,2025-01-14 02:03:00,6,2,5523,194,À l'heure
124,PD614,2025-01-13,PD,31,YUL,YQB,2025-01-13 20:45:00,2025-01-13 20:46:00,2025-01-13 21:34:00,2025-01-13 21:44:00,1,10,233,58,À l'heure
125,AC114,2025-01-14,AC,1,YYZ,YOW,2025-01-14 15:00:00,,2025-01-14 15:55:00,,,,363,,Annulé
126,AC498,2025-01-14,AC,5,CUN,YUL,2025-01-14 16:55:00,2025-01-14 17:16:00,2025-01-14 21:09:00,2025-01-14 21:33:00,21,24,2970,127,Retardé
127,WS245,2025-01-14,WS,18,YVR,YEG,2025-01-14 17:05:00,2025-01-14 18:22:00,2025-01-14 18:29:00,2025-01-14 19:55:00,77,86,809,138,Retardé
128,F81860,2025-01-14,F8,42,YYC,YVR,2025-01-14 18:45:00,2025-01-14 18:48:00,2025-01-14 20:09:00,2025-01-14 20:10:00,3,1,687,162,À l'heure
129,WS1365,2025-01-14,WS,19,YUL,YYC,2025-01-14 19:05:00,2025-01-14 19:32:00,2025-01-14 23:22:00,2025-01-14 23:37:00,27,15,3005,144,À l'heure
130,PD191,2025-01-14,PD,26,YOW,YYZ,2025-01-14 20:05:00,2025-01-14 20:10:00,2025-01-14 21:07:00,2025-01-14 21:16:00,5,9,363,93,À l'heure
131,PD1979,2025-01-14,PD,30,YUL,YOW,2025-01-14 20:10:00,2025-01-14 20:14:00,2025-01-14 20:54:00,2025-01-14 21:03:00,4,9,151,55,À l'heure
132,AC732,2025-01-15,AC,2,YUL,JFK,2025-01-15 08:00:00,2025-01-15 08:24:00,2025-01-15 09:05:00,2025-01-15 09:24:00,24,19,537,131,Retardé
133,WS460,2025-01-15,WS,20,YYZ,YUL,2025-01-15 09:00:00,2025-01-15 09:03:00,2025-01-15 10:00:00,2025-01-15 10:10:00,3,10,507,109,À l'heure
134,AC680,2025-01-15,AC,7,YHZ,YYZ,2025-01-15 10:10:00,2025-01-15 10:11:00,2025-01-15 12:23:00,2025-01-15 12:17:00,1,-6,1288,157,À l'heure
135,AC223,2025-01-15,AC,12,CDG,YUL,2025-01-15 14:15:00,2025-01-15 14:39:00,2025-01-15 21:54:00,2025-01-15 22:28:00,24,34,5523,196,Retardé
136,PD1797,2025-01-15,PD,28,YHZ,YUL,2025-01-15 14:50:00,2025-01-15 15:10:00,2025-01-15 16:13:00,2025-01-15 16:21:00,20,8,804,110,À l'heure
137,AC768,2025-01-15,AC,9,YYZ,YOW,2025-01-15 15:55:00,2025-01-15 15:55:00,2025-01-15 16:54:00,2025-01-15 16:42:00,0,-12,363,156,À l'heure
138,AC1413,2025-01-15,AC,5,YUL,YYC,2025-01-15 17:15:00,2025-01-15 17:29:00,2025-01-15 21:34:00,2025-01-15 21:46:00,14,12,3005,152,À l'heure
139,WS1163,2025-01-15,WS,20,YVR,YEG,2025-01-15 17:40:00,2025-01-15 17:51:00,2025-01-15 19:05:00,2025-01-15 19:20:00,11,15,809,156,À l'heure
140,WS384,2025-01-15,WS,20,CUN,YUL,2025-01-15 21:35:00,2025-01-15 22:35:00,2025-01-16 01:50:00,2025-01-16 02:37:00,60,47,2970,159,Retardé
141,AC1020,2025-01-16,AC,9,YYZ,YWG,2025-01-16 07:00:00,2025-01-16 07:00:00,2025-01-16 09:17:00,2025-01-16 09:14:00,0,-3,1504,168,À l'heure
142,WS862,2025-01-16,WS,18,YYC,YWG,2025-01-16 09:35:00,2025-01-16 13:16:00,2025-01-16 11:44:00,2025-01-16 15:20:00,221,216,1191,143,Retardé
143,WS1570,2025-01-16,WS,20,YYZ,YUL,2025-01-16 11:00:00,2025-01-16 11:31:00,2025-01-16 12:18:00,2025-01-16 12:42:00,31,24,507,153,Retardé
144,WS951,2025-01-16,WS,17,YYC,YYZ,2025-01-16 11:55:00,2025-01-16 14:14:00,2025-01-16 15:55:00,2025-01-16 18:01:00,139,126,2689,143,Retardé
145,WS1051,2025-01-16,WS,18,YUL,YYZ,2025-01-16 12:40:00,2025-01-16 13:03:00,2025-01-16 13:54:00,2025-01-16 14:20:00,23,26,507,160,Retardé
146,WS1922,2025-01-16,WS,18,YYZ,YYC,2025-01-16 13:05:00,2025-01-16 13:09:00,2025-01-16 16:56:00,2025-01-16 17:10:00,4,14,2689,164,À l'heure
147,PD1125,2025-01-16,PD,30,YOW,YUL,2025-01-16 17:10:00,2025-01-16 17:13:00,2025-01-16 17:48:00,2025-01-16 17:47:00,3,-1,151,62,À l'heure
148,AC1042,2025-01-16,AC,16,YUL,CDG,2025-01-16 18:05:00,2025-01-16 18:48:00,2025-01-17 01:40:00,2025-01-17 02:09:00,43,29,5523,236,Retardé
149,F8754,2025-01-16,F8,40,YVR,YYZ,2025-01-16 20:05:00,2025-01-16 20:08:00,2025-01-17 00:56:00,2025-01-17 01:08:00,3,12,3346,125,À l'heure
